num_constraints,in_ring_count,in_ring_percentage,out_of_ring_count,out_of_ring_percentage
5,4179,0.445%,69,0.002%
6,6927,0.737%,64,0.002%
7,18994,2.021%,123,0.004%
8,17363,1.847%,95,0.003%
9,29766,3.166%,561,0.017%
10,24166,2.571%,294,0.009%
11,45813,4.873%,1117,0.034%
12,40827,4.343%,391,0.012%
13,69882,7.434%,686,0.021%
14,51242,5.451%,328,0.010%
15,67892,7.222%,383,0.012%
16,48215,5.129%,227,0.007%
17,52705,5.607%,207,0.006%
18,44017,4.682%,181,0.006%
19,51377,5.465%,656,0.020%
20,41852,4.452%,6092,0.187%
21,53201,5.659%,17550,0.540%
22,31531,3.354%,37270,1.146%
23,45502,4.840%,142661,4.386%
24,194602,20.701%,3043783,93.576%
at total,940053,100.000%,3252738,100.000%
