element,Hessian,HessianRelax,TorsionScan,TorsionScan (unique),TorsionScanRelax,TorsionScanRelax (unique),MBIS
C,3100300(99.9279%),4809554(99.9549%),4192260(99.9873%),2436502(99.9802%),4914033(99.9869%),3089945(99.9801%),3079875(99.9262%)
N,2511706(80.9565%),4210445(87.5039%),3600678(85.8778%),2062283(84.6244%),4336181(88.2292%),2709037(87.6552%),2488345(80.7340%)
O,2355077(75.9081%),3490226(72.5359%),3409587(81.3202%),1897151(77.8483%),3834034(78.0119%),2293603(74.2132%),2337180(75.8295%)
S,635415(20.4805%),948882(19.7202%),1032489(24.6253%),557524(22.8776%),1174183(23.8914%),689218(22.3007%),624439(20.2598%)
F,405535(13.0711%),563136(11.7034%),602375(14.3669%),342030(14.0350%),684840(13.9346%),410136(13.2706%),401583(13.0293%)
Cl,403989(13.0212%),605830(12.5907%),558673(13.3246%),328770(13.4909%),655559(13.3388%),412561(13.3491%),402773(13.0679%)
Br,178050(5.7389%),238083(4.9480%),230139(5.4889%),138115(5.6675%),263730(5.3662%),166190(5.3773%),149842(4.8616%)
Si,282990(9.1212%),264793(5.5031%),82666(1.9716%),82666(3.3921%),92786(1.8879%),92786(3.0022%),283165(9.1873%)
B,69851(2.2514%),74357(1.5453%),55657(1.3274%),55657(2.2838%),60870(1.2385%),60870(1.9695%),78088(2.5336%)
P,29970(0.9660%),35976(0.7477%),43440(1.0361%),24117(0.9896%),42646(0.8677%),26164(0.8466%),30032(0.9744%)
I,25923(0.8355%),31976(0.6645%),27537(0.6568%),18804(0.7716%),30449(0.6196%),21316(0.6897%),25909(0.8406%)
